Sample_ID,Red,Green,Blue
0,46,44,40
1,47,45,41
2,47,46,41
3,47,45,41
4,45,55,57
5,49,50,47
6,59,59,57
7,63,65,66
8,71,71,72
9,75,75,76
10,76,77,77
11,77,78,79
12,78,78,80
13,78,78,80
14,79,79,78
15,79,79,78
16,78,79,78
17,81,81,80
18,81,81,80
19,77,72,70
20,104,101,100
21,110,108,109
22,114,113,115
23,117,115,117
24,118,116,117
25,119,116,119
26,110,107,107
0,149,147,148
1,120,117,117
2,70,71,70
3,66,66,65
4,141,141,141
5,140,141,141
6,139,140,140
7,140,140,140
8,139,140,138
9,140,139,138
10,138,138,138
11,136,134,134
12,138,140,139
13,138,139,139
14,139,140,140
15,139,140,140
16,140,139,139
17,140,140,140
18,124,125,125
19,127,128,128
20,128,128,127
21,128,128,127
22,128,128,128
23,128,128,128
24,128,128,127
